city,location_lat,location_lng,numberOfGuests,minNights,bedroomLabel,bedLabel,bathroomLabel,stars,pricing,roomType_entire_home,roomType_hotel_room,roomType_private_room,roomType_shared_room,zipcode,district_index
Şişli,41.058,28.975,4,2,1.0,0.0,1.0,4.82,2083.0,1,0,0,0,34360,54.677
Büyükçekmece,41.01583,28.59247,4,4,2.0,2.0,1.0,4.67,2100.0,1,0,0,0,34500,36.250
Beyoğlu,41.03519,28.97405,5,101,2.0,2.0,1.0,4.82,2078.0,1,0,0,0,34421,60.000
Beyoğlu,41.035,28.986,2,2,1.0,1.0,1.0,4.47,1415.0,1,0,0,0,34421,60.000
Beyoğlu,41.03465302,28.98505423,3,2,1.0,1.0,1.0,4.67,2096.0,1,0,0,0,34421,60.000
Üsküdar,41.024,29.015,2,2,1.0,0.0,1.0,4.78,1450.0,1,0,0,0,34660,61.428 
Beyoğlu,41.03609524,28.97187677,3,2,1.0,1.0,1.0,4.82,1465.0,1,0,0,0,34421,60.000
Beyoğlu,41.033,28.983,2,1,1.0,0.0,1.0,4.69,2043.0,1,0,0,0,34421,60.000
Beyoğlu,41.0272,28.97271,2,1,1.0,1.0,1.0,4.41,1831.0,1,0,0,0,34421,60.000
Beyoğlu,41.03751,28.97687,2,90,1.0,1.0,1.0,5.0,1456.0,1,0,0,0,34421,60.000
Beyoğlu,41.03171,28.98133,2,2,1.0,1.0,1.0,4.88,2068.0,1,0,0,0,34421,60.000
Pendik,40.91791614,29.30610305,2,1,1.0,0.0,1.0,5.0,1750.0,1,0,0,0,34893,35.386
Şişli,41.05361,28.98598,3,2,1.0,1.0,1.0,4.55,1457.0,1,0,0,0,34360,54.677
Beşiktaş,41.08939,29.03386,2,1,1.0,1.0,1.0,4.62,1764.0,1,0,0,0,34353,88.235
Beyoğlu,41.03534,28.98827,3,3,1.0,1.0,1.0,5.0,1872.0,1,0,0,0,34421,60.000
Bağcılar,41.05775,28.8135,3,3,1.0,1.0,1.0,4.85,1800.0,1,0,0,0,34200,35.313
Kadıköy,40.98839,29.03203,2,1,,2.0,1.0,4.9,1453.0,0,0,1,0,34744,88.888
Beyoğlu,41.03717841,28.98158815,2,2,1.0,1.0,1.0,4.67,1440.0,1,0,0,0,34421,60.000
